id,client_folder_name,analysis_area,MIN_longitude,MAX_longitude,MIN_latitude,MAX_latitude
868,AU_project,au_110,131,131.5,-15.5,-15
869,AU_project,au_111,131.5,132,-15.5,-15
870,AU_project,au_112,132,132.5,-15.5,-15
871,AU_project,au_113,132.5,133,-15.5,-15
872,AU_project,au_114,133,133.5,-15.5,-15
873,AU_project,au_115,133.5,134,-15.5,-15
874,AU_project,au_116,134,134.5,-15.5,-15
875,AU_project,au_117,134.5,135,-15.5,-15
876,AU_project,au_118,135,135.5,-15.5,-15
889,AU_project,au_119,141.5,142,-15.5,-15
890,AU_project,au_120,142,142.5,-15.5,-15
891,AU_project,au_121,142.5,143,-15.5,-15
892,AU_project,au_122,143,143.5,-15.5,-15
893,AU_project,au_123,143.5,144,-15.5,-15
894,AU_project,au_124,144,144.5,-15.5,-15
895,AU_project,au_125,144.5,145,-15.5,-15
896,AU_project,au_126,145,145.5,-15.5,-15
938,AU_project,au_127,124.5,125,-16,-15.5
939,AU_project,au_128,125,125.5,-16,-15.5
940,AU_project,au_129,125.5,126,-16,-15.5
941,AU_project,au_130,126,126.5,-16,-15.5
942,AU_project,au_131,126.5,127,-16,-15.5
943,AU_project,au_132,127,127.5,-16,-15.5
944,AU_project,au_133,127.5,128,-16,-15.5
945,AU_project,au_134,128,128.5,-16,-15.5
946,AU_project,au_135,128.5,129,-16,-15.5
947,AU_project,au_136,129,129.5,-16,-15.5
948,AU_project,au_137,129.5,130,-16,-15.5
949,AU_project,au_138,130,130.5,-16,-15.5
950,AU_project,au_139,130.5,131,-16,-15.5
951,AU_project,au_140,131,131.5,-16,-15.5
952,AU_project,au_141,131.5,132,-16,-15.5
953,AU_project,au_142,132,132.5,-16,-15.5
954,AU_project,au_143,132.5,133,-16,-15.5
955,AU_project,au_144,133,133.5,-16,-15.5
956,AU_project,au_145,133.5,134,-16,-15.5
957,AU_project,au_146,134,134.5,-16,-15.5
958,AU_project,au_147,134.5,135,-16,-15.5
959,AU_project,au_148,135,135.5,-16,-15.5
960,AU_project,au_149,135.5,136,-16,-15.5
961,AU_project,au_150,136,136.5,-16,-15.5
972,AU_project,au_151,141.5,142,-16,-15.5
973,AU_project,au_152,142,142.5,-16,-15.5
974,AU_project,au_153,142.5,143,-16,-15.5
975,AU_project,au_154,143,143.5,-16,-15.5
976,AU_project,au_155,143.5,144,-16,-15.5
977,AU_project,au_156,144,144.5,-16,-15.5
978,AU_project,au_157,144.5,145,-16,-15.5
979,AU_project,au_158,145,145.5,-16,-15.5
1020,AU_project,au_159,124,124.5,-16.5,-16
1021,AU_project,au_160,124.5,125,-16.5,-16
1022,AU_project,au_161,125,125.5,-16.5,-16
1023,AU_project,au_162,125.5,126,-16.5,-16
1024,AU_project,au_163,126,126.5,-16.5,-16
1025,AU_project,au_164,126.5,127,-16.5,-16
1026,AU_project,au_165,127,127.5,-16.5,-16
1027,AU_project,au_166,127.5,128,-16.5,-16
1028,AU_project,au_167,128,128.5,-16.5,-16
1029,AU_project,au_168,128.5,129,-16.5,-16
1030,AU_project,au_169,129,129.5,-16.5,-16
1031,AU_project,au_170,129.5,130,-16.5,-16
1032,AU_project,au_171,130,130.5,-16.5,-16
1033,AU_project,au_172,130.5,131,-16.5,-16
1034,AU_project,au_173,131,131.5,-16.5,-16
1035,AU_project,au_174,131.5,132,-16.5,-16
1036,AU_project,au_175,132,132.5,-16.5,-16
1037,AU_project,au_176,132.5,133,-16.5,-16
1038,AU_project,au_177,133,133.5,-16.5,-16
1039,AU_project,au_178,133.5,134,-16.5,-16
1040,AU_project,au_179,134,134.5,-16.5,-16
1041,AU_project,au_180,134.5,135,-16.5,-16
1042,AU_project,au_181,135,135.5,-16.5,-16
1043,AU_project,au_182,135.5,136,-16.5,-16
1044,AU_project,au_183,136,136.5,-16.5,-16
1045,AU_project,au_184,136.5,137,-16.5,-16
1046,AU_project,au_185,137,137.5,-16.5,-16
1055,AU_project,au_186,141.5,142,-16.5,-16
1056,AU_project,au_187,142,142.5,-16.5,-16
1057,AU_project,au_188,142.5,143,-16.5,-16
1058,AU_project,au_189,143,143.5,-16.5,-16
1059,AU_project,au_190,143.5,144,-16.5,-16
1060,AU_project,au_191,144,144.5,-16.5,-16
1061,AU_project,au_192,144.5,145,-16.5,-16
1062,AU_project,au_193,145,145.5,-16.5,-16
1100,AU_project,au_194,122.5,123,-17,-16.5
1102,AU_project,au_195,123.5,124,-17,-16.5
1103,AU_project,au_196,124,124.5,-17,-16.5
1104,AU_project,au_197,124.5,125,-17,-16.5
1105,AU_project,au_198,125,125.5,-17,-16.5
1106,AU_project,au_199,125.5,126,-17,-16.5
1107,AU_project,au_200,126,126.5,-17,-16.5
1108,AU_project,au_201,126.5,127,-17,-16.5
1109,AU_project,au_202,127,127.5,-17,-16.5
1110,AU_project,au_203,127.5,128,-17,-16.5
1111,AU_project,au_204,128,128.5,-17,-16.5
1112,AU_project,au_205,128.5,129,-17,-16.5
1113,AU_project,au_206,129,129.5,-17,-16.5
1114,AU_project,au_207,129.5,130,-17,-16.5
1115,AU_project,au_208,130,130.5,-17,-16.5
1116,AU_project,au_209,130.5,131,-17,-16.5
1117,AU_project,au_210,131,131.5,-17,-16.5
1118,AU_project,au_211,131.5,132,-17,-16.5
1119,AU_project,au_212,132,132.5,-17,-16.5
1120,AU_project,au_213,132.5,133,-17,-16.5
1121,AU_project,au_214,133,133.5,-17,-16.5
1122,AU_project,au_215,133.5,134,-17,-16.5
1123,AU_project,au_216,134,134.5,-17,-16.5
1124,AU_project,au_217,134.5,135,-17,-16.5
1125,AU_project,au_218,135,135.5,-17,-16.5
1126,AU_project,au_219,135.5,136,-17,-16.5
1127,AU_project,au_220,136,136.5,-17,-16.5
1128,AU_project,au_221,136.5,137,-17,-16.5
1129,AU_project,au_222,137,137.5,-17,-16.5
1130,AU_project,au_223,137.5,138,-17,-16.5
1131,AU_project,au_224,138,138.5,-17,-16.5
1138,AU_project,au_225,141.5,142,-17,-16.5
1139,AU_project,au_226,142,142.5,-17,-16.5
1140,AU_project,au_227,142.5,143,-17,-16.5
1141,AU_project,au_228,143,143.5,-17,-16.5
1142,AU_project,au_229,143.5,144,-17,-16.5
1143,AU_project,au_230,144,144.5,-17,-16.5
1144,AU_project,au_231,144.5,145,-17,-16.5
1145,AU_project,au_232,145,145.5,-17,-16.5
1182,AU_project,au_233,122,122.5,-17.5,-17
1183,AU_project,au_234,122.5,123,-17.5,-17
1184,AU_project,au_235,123,123.5,-17.5,-17
1185,AU_project,au_236,123.5,124,-17.5,-17
1186,AU_project,au_237,124,124.5,-17.5,-17
1187,AU_project,au_238,124.5,125,-17.5,-17
1188,AU_project,au_239,125,125.5,-17.5,-17
1189,AU_project,au_240,125.5,126,-17.5,-17
1190,AU_project,au_241,126,126.5,-17.5,-17
1191,AU_project,au_242,126.5,127,-17.5,-17
1192,AU_project,au_243,127,127.5,-17.5,-17
1193,AU_project,au_244,127.5,128,-17.5,-17
1194,AU_project,au_245,128,128.5,-17.5,-17
1195,AU_project,au_246,128.5,129,-17.5,-17
1196,AU_project,au_247,129,129.5,-17.5,-17
1197,AU_project,au_248,129.5,130,-17.5,-17
1198,AU_project,au_249,130,130.5,-17.5,-17
1199,AU_project,au_250,130.5,131,-17.5,-17
1200,AU_project,au_251,131,131.5,-17.5,-17
1201,AU_project,au_252,131.5,132,-17.5,-17
1202,AU_project,au_253,132,132.5,-17.5,-17
1203,AU_project,au_254,132.5,133,-17.5,-17
1204,AU_project,au_255,133,133.5,-17.5,-17
1205,AU_project,au_256,133.5,134,-17.5,-17
1206,AU_project,au_257,134,134.5,-17.5,-17
1207,AU_project,au_258,134.5,135,-17.5,-17
1208,AU_project,au_259,135,135.5,-17.5,-17
1209,AU_project,au_260,135.5,136,-17.5,-17
1210,AU_project,au_261,136,136.5,-17.5,-17
1211,AU_project,au_262,136.5,137,-17.5,-17
1212,AU_project,au_263,137,137.5,-17.5,-17
1213,AU_project,au_264,137.5,138,-17.5,-17
1214,AU_project,au_265,138,138.5,-17.5,-17
1215,AU_project,au_266,138.5,139,-17.5,-17
1220,AU_project,au_267,141,141.5,-17.5,-17
1221,AU_project,au_268,141.5,142,-17.5,-17
1222,AU_project,au_269,142,142.5,-17.5,-17
1223,AU_project,au_270,142.5,143,-17.5,-17
1224,AU_project,au_271,143,143.5,-17.5,-17
1225,AU_project,au_272,143.5,144,-17.5,-17
1226,AU_project,au_273,144,144.5,-17.5,-17
1227,AU_project,au_274,144.5,145,-17.5,-17
1228,AU_project,au_275,145,145.5,-17.5,-17
1229,AU_project,au_276,145.5,146,-17.5,-17
1265,AU_project,au_277,122,122.5,-18,-17.5
1266,AU_project,au_278,122.5,123,-18,-17.5
1267,AU_project,au_279,123,123.5,-18,-17.5
1268,AU_project,au_280,123.5,124,-18,-17.5
1269,AU_project,au_281,124,124.5,-18,-17.5
1270,AU_project,au_282,124.5,125,-18,-17.5
1271,AU_project,au_283,125,125.5,-18,-17.5
1272,AU_project,au_284,125.5,126,-18,-17.5
1273,AU_project,au_285,126,126.5,-18,-17.5
